"id","interval","wake","nrem","rem","ts","tsnrem","tsrem","tsw","nbwake","dbwake","nbnrem","dbnrem","nbrem","dbrem","nbts","dbts","narous","nshifts","latnrem","latrem","onsetrem","cyclrem","b1","b2","b3","b4","b5","b1rpn","b2rpr","b3rpr"
"9433","li2.1",177,167.166666666667,16,183.166666666667,91.2647861692448,8.73521383075523,NA,26,6.73717948717949,37,4.51351351351351,13,1.19230769230769,37,29.6756756756757,11,90,0,1.5,5.24358974358974,27.3888888888889,237.499321610366,218.407737621472,98.4400828320222,39.8151337343822,8.23452892179547,0.402221352443043,0.45537249787963,0.206073303040001
"9433","li2.2",207.333333333333,145,7.83333333333333,152.833333333333,94.8745910577972,5.12540894220283,NA,13,15.7564102564103,27,5.3641975308642,7,1.09523809523810,27,33.9259259259259,14,63,0,117.833333333333,5.42857142857143,37.8055555555556,223.828422026839,211.364665895419,97.9032397038408,39.4088172142527,7.90783063396576,0.404951499020338,0.433583464784822,0.232133933641402
"9433","li3.1",101.5,179.333333333333,19.3333333333333,198.666666666667,90.268456375839,9.73154362416107,NA,13,7.53846153846154,35,5.12380952380952,14,1.36904761904762,35,34.0571428571429,21,83,0,4.66666666666667,6.75641025641026,21.2435897435897,228.795939478068,225.286584119933,100.585919489173,42.8277329261521,8.33717767906719,0.378068662069284,0.436650663981291,0.224902832670267
"9433","li3.2",111.5,171,17.6666666666667,188.666666666667,90.6360424028269,9.36395759717315,NA,25,4.34,43,3.97674418604651,15,1.14444444444444,43,26.3255813953488,17,103,0,2,4.61111111111111,19.2023809523810,213.553477512493,213.847651304831,95.9846646307607,41.3187251526929,8.08301943364797,0.374409419275754,0.467792918620435,0.206363199408889
"9433","li4.1",39.6666666666667,73.3333333333333,7.16666666666667,80.5,91.0973084886128,8.90269151138716,NA,14,2.76190476190476,20,3.66666666666667,8,0.875,21,23,6,48,0.5,0,4.61904761904762,15.5238095238095,224.942701803051,230.748997226075,102.621033287101,44.488613037448,8.4927947295423,0.364351508265603,0.446939592820717,0.223057444201087
"9433","li4.2",34.8333333333333,76,9.33333333333333,85.3333333333333,89.0625,10.9375,NA,16,2.05208333333333,27,2.80864197530864,8,1.16666666666667,27,18.9259259259259,11,63,0,1.5,2.8125,15.5476190476190,210.705335644938,214.392678224688,96.1288044382802,42.9256865464632,8.393133148405,0.361573908645408,0.467375463858504,0.192699731508624
"9433","dk1.1",20.8333333333333,63.5,5.83333333333333,69.3333333333333,91.5865384615385,8.41346153846154,NA,12,1.70833333333333,15,4.23333333333333,4,1.45833333333333,15,27.7333333333333,2,32,0,39.6666666666667,4.33333333333333,11.1111111111111,227.961523105360,231.214112754159,103.035900184843,46.5114029574861,8.81958410351201,0.363320598360907,0.419792372584202,0.232597772567867
"9433","dk1.2",25.6666666666667,58.3333333333333,6.16666666666667,64.5,90.4392764857881,9.56072351421189,NA,6,4.02777777777778,16,3.64583333333333,6,1.02777777777778,16,24.1875,9,36,0,16.1666666666667,5.47222222222222,13,205.474789279113,212.211780036969,93.7709926062847,41.8141940850277,7.948292051756,0.363127580010964,0.41296444275533,0.228333327587044
"9433","dk2.1",35,103.333333333333,11.8333333333333,115.166666666667,89.72503617945,10.2749638205499,NA,14,2.41666666666667,22,4.6969696969697,8,1.4375,22,31.4090909090909,7,52,0,7.16666666666667,4.91666666666667,18.7619047619048,219.650057713652,233.603453940067,103.008162042175,45.1800421753607,8.51654716981132,0.359112586681763,0.476347292461739,0.197839980465658
"9433","dk2.2",54.6666666666667,87.5,8,95.5,91.6230366492147,8.37696335078534,NA,13,4.07692307692308,23,3.80434782608696,8,1,23,24.9130434782609,9,53,0,10.3333333333333,4.8125,17.8809523809524,213.349902330744,212.078539400666,95.8288190899001,42.5524184239734,8.16894339622642,0.360077681269946,0.457456906284614,0.205940882613489
"9433","dk3.1",33.8333333333333,51.6666666666667,4.66666666666667,56.3333333333333,91.715976331361,8.28402366863905,NA,10,3.25,17,3.02941176470588,4,1.16666666666667,18,18.7222222222222,8,39,1,0,5.16666666666667,27.1111111111111,208.709493530499,227.872521256932,101.081260628466,44.4237356746765,8.7104528650647,0.342470496656185,0.431435349188069,0.190802024664219
"9433","dk3.2",31.5,56,2.66666666666667,58.6666666666667,95.4545454545455,4.54545454545455,NA,9,3.42592592592593,13,4.30769230769231,2,1.25,13,27.0769230769231,4,28,0.166666666666667,5.66666666666667,2.41666666666667,11,203.209478743068,223.023415896488,96.7687097966728,43.5523863216266,8.33500184842883,0.346520327902954,0.545955546359749,0.168482134350470
"9433","dk4.1",105,70.5,4.66666666666667,75.1666666666667,93.7915742793791,6.20842572062084,NA,9,11.5,17,4.13725490196078,5,0.9,17,26.4705882352941,8,41,0,9.33333333333333,3.45833333333333,38.5,218.147589269195,215.909171137835,100.911454209066,41.9495531914894,8.5047335800185,0.364171347774825,0.451844773906807,0.187177951910045
"9433","dk4.2",72.1666666666667,100.5,7.5,108,93.0555555555556,6.94444444444444,NA,20,3.50833333333333,33,3.04545454545455,10,0.75,33,19.6363636363636,12,74,0,12.1666666666667,4.26666666666667,17.6481481481481,204.157703977798,222.263353376503,98.0408242368178,42.8070249768733,8.66313691026827,0.342033456672598,0.442990006952836,0.218722323466901
"9433","dk5.1",67.8333333333333,20.6666666666667,1.66666666666667,22.3333333333333,92.5373134328358,7.46268656716418,NA,5,13.5333333333333,5,4.13333333333333,1,1.5,5,26.8,1,12,29.6666666666667,36.5,2.16666666666667,NA,188.840325323475,195.864706099815,94.034404805915,35.3907560073937,8.04698890942699,0.367767189179444,0.41502112640584,0.238736000168683
"9433","dk5.2",54,31.8333333333333,4.33333333333333,36.1666666666667,88.0184331797235,11.9815668202765,NA,3,17.7222222222222,8,3.97916666666667,4,1.08333333333333,8,27.125,5,19,0,1,6.33333333333333,27.1666666666667,192.059613678373,208.995665434381,100.145123844732,41.3898890942699,8.42336414048059,0.354659588088749,0.395438744995067,0.263898933944482
"9434","flp.1",355.333333333333,437.333333333333,46.6666666666667,484,90.358126721763,9.64187327823691,NA,74,4.60585585585586,157,2.78237791932059,38,1.19736842105263,157,18.4777070063694,87,366,3.66666666666667,31.5,3.17543859649123,20.0450450450450,366.728020630827,464.887317397342,244.989126363817,105.944179726245,19.2349962309066,0.282020519554442,0.430405830568038,0.263590071012737
